,EW,GMV_50bps_net,ML_GMV_50bps_net
2023-11-30,0.031698279790385045,0.01525971879306896,0.015426476960701917
2023-12-31,0.011061497406856718,0.009270305521964771,0.009174130583771626
2024-01-31,0.020870317345347965,0.018281483282429727,0.01825884473952094
2024-02-29,0.06310589250800892,0.04870150352104885,0.04877343905877635
2024-03-31,0.030041406956146943,0.017614593610753692,0.017628217069570847
2024-04-30,0.1704472544082622,0.23744181985219628,0.23588114698559573
2024-05-31,0.025806342746062663,0.022669033943124292,0.022772038187226208
2024-06-30,0.0338421029191112,0.02932270118983998,0.029800515338802364
2024-07-31,0.03740721808510503,0.030252377715472248,0.030563814382080095
2024-08-31,0.03694624922268715,0.03321491098061742,0.03327413909118047
2024-09-30,0.03830733793565032,0.03462923379285532,0.03481029934802434
2024-10-31,0.011758398305579454,0.01129035308263167,0.011223930433430809
2024-11-30,0.014135025649302005,0.008087943866880897,0.00788892227861434
2024-12-31,0.0738111024766936,0.031258735773847676,0.031149576094539694
2025-01-31,-0.005508799167601916,-0.003605794019869156,-0.0036445576954202974
2025-02-28,0.000928297426578178,0.002551350679482252,0.003031156391426576
2025-03-31,0.07719991500013726,0.07054557976378725,0.0721444715720214
2025-04-30,0.031631903724728586,0.03191366700578618,0.03238656722590309
2025-05-31,0.10300248450909064,0.08893976610313314,0.08956104729570287
2025-06-30,0.03087224482380196,0.018554603876562062,0.018846241647548143
2025-07-31,0.05290793454964271,0.05358626878598243,0.05361781275771077
2025-08-31,0.12802822446150777,0.12791654223296126,0.12923148724242017
2025-09-30,0.11604051947880556,0.09689995938711246,0.09658711398055524
2025-10-31,0.028213412523036652,0.022919549512416475,0.022841843178153808
