,Mean monthly return,Monthly volatility,Annualised return (approx),Annualised volatility (approx),Sharpe ratio (annual),Total return (test window),Avg monthly turnover,Avg monthly cost
EW (frictionless),0.04843977346187194,0.04324912647085398,0.5812772815424633,0.14981936886098227,3.879854026630107,2.053622498809731,,
GMV (50 bps net),0.044063175343920256,0.052043377990081775,0.528758104127043,0.18028354975266694,2.9329248556091354,1.740881192194291,0.07732670718835558,0.0003866335359417779
ML-GMV (50 bps net),0.04421786142282739,0.05190166821053907,0.5306143370739287,0.17979265267647224,2.9512570684895687,1.7509800004695868,0.07742959934577494,0.0003871479967288748
