,GMV (50 bps net),ML-GMV (50 bps net)
Mean monthly return,0.044063175343920256,0.04421786142282739
Monthly volatility,0.052043377990081775,0.05190166821053907
Annualised Sharpe ratio,2.9329248556091354,2.9512570684895687
Total return (test window),1.740881192194291,1.7509800004695868
Average monthly turnover,0.07732670718835558,0.07742959934577494
Average monthly transaction cost,0.0003866335359417779,0.0003871479967288748
